pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,com_t,com_radio,com_tv,com_lline,com_mob,com_comp,com_int
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,52591,28403,35801,4499,28739,4041,6078
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,22860,10051,10541,1416,5880,474,525
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,285,115,58,5,22,3,1
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,8528,3516,4406,444,2556,176,409
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,3306,709,1431,64,811,58,10
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,1073,390,253,2,34,8,1
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,39622,20119,26357,2485,15827,1030,1476
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,24898,10177,15893,1814,9016,594,999
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,36632,11684,24427,2567,16787,1009,733
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,24161,12417,16793,1372,9820,1012,1198
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,16621,5902,9823,787,3995,250,442
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,12370,3710,7388,810,3103,253,93
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,10554,4004,6809,714,2997,133,43
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,10743,2623,2767,123,1151,196,44
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,479,333,166,14,45,9,0
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,1719,517,403,16,106,22,3
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,1711,1003,202,10,12,9,9
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,1212,378,137,5,52,14,2
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,26495,8272,18183,1478,12646,1498,2158
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,15347,4284,7335,448,2873,220,207
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,5910,1545,1361,59,350,48,4
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,1406,217,217,19,10,8,1
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,2081,707,1059,53,28,46,3
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,4733,1161,2422,137,127,45,19
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,1302,493,669,3,11,4,1
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,89197,23343,51098,4020,27009,3105,4140
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,53120,8551,16968,1660,4942,456,151
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,19140,5866,7244,635,3583,198,154
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,6502,1626,2266,101,1482,90,66
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,44016,7383,25119,1996,22393,1869,991
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,45498,12914,22157,1989,9032,1067,1036
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,50568,10004,20220,1075,9646,805,735
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,9917,1827,5058,1378,4889,482,374
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,9782,1778,2911,541,956,212,80
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,9626,1661,4136,602,3547,241,245
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,14683,2567,4481,1097,2926,497,274
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,4941,596,1016,83,371,78,26
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,8522,2939,1988,377,2084,142,106
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,10157,1526,2593,328,202,136,49
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,3977,1450,497,54,306,57,6
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,19516,4191,2204,123,286,154,27
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,65143,24857,37362,2362,26224,1542,1034
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,25304,12969,10031,967,5655,278,415
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,24262,14735,7616,1137,3278,188,276
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,57297,20187,26762,2619,16846,1236,2657
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,32624,14242,10055,1160,4689,185,648
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,46712,24510,15997,1563,7460,344,1051
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,61326,26656,19965,2416,8773,554,1000
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,20863,8631,8580,1197,3376,186,503
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,26373,11910,9919,1369,6047,311,728
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,30345,13852,7924,973,4322,228,732
MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,35937,16857,10845,1821,5559,307,533
MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,75962,31197,46306,5218,38578,4169,5721
MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,28616,15134,7778,928,4073,224,570
MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,35591,17807,10042,721,4799,199,404
MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,23376,12281,8561,1075,6805,280,617
MMR005,Sagaing,MMR005D004,Katha,MMR005020,Katha,31961,16415,17304,1246,7934,491,1301
MMR005,Sagaing,MMR005D004,Katha,MMR005021,Indaw,23230,7599,13310,1250,5194,300,869
MMR005,Sagaing,MMR005D004,Katha,MMR005022,Tigyaing,26389,7999,15239,1044,5216,253,916
MMR005,Sagaing,MMR005D004,Katha,MMR005023,Banmauk,18868,5357,11220,685,745,169,27
MMR005,Sagaing,MMR005D004,Katha,MMR005024,Kawlin,31403,8979,18027,2120,6229,562,835
MMR005,Sagaing,MMR005D004,Katha,MMR005025,Wuntho,14205,3538,8855,630,3344,167,673
MMR005,Sagaing,MMR005D004,Katha,MMR005026,Pinlebu,21900,6323,10360,395,1480,156,43
MMR005,Sagaing,MMR005D005,Kale,MMR005027,Kale,72769,21717,36478,2985,26902,2124,3232
MMR005,Sagaing,MMR005D005,Kale,MMR005028,Kalewa,11735,5405,4581,495,1865,114,145
MMR005,Sagaing,MMR005D005,Kale,MMR005029,Mingin,22058,12165,6123,558,354,123,16
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,22591,6514,10938,1091,7259,553,798
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005031,Mawlaik,10345,5211,4779,199,1840,134,306
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005032,Paungbyin,20246,9267,6099,398,371,164,53
MMR005,Sagaing,MMR005D008,Hkamti,MMR005033,Hkamti,7361,2282,3330,166,1418,172,71
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,35743,12251,19432,1289,4005,546,331
MMR005,Sagaing,MMR005D008,Hkamti,MMR005035,Lay Shi,1966,607,257,11,90,14,2
MMR005,Sagaing,MMR005D008,Hkamti,MMR005036,Lahe,8932,1215,501,38,787,29,4
MMR005,Sagaing,MMR005D008,Hkamti,MMR005037,Nanyun,7840,1001,342,44,170,29,6
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005016,Yinmabin,29532,18628,8793,1060,4346,283,572
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005018,Salingyi,26467,14374,11739,552,5762,482,1004
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005019,Pale,32362,18218,9412,1166,3731,229,682
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005017,Kani,29223,19056,7202,1337,2637,175,231
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,29133,11440,19161,2147,14190,1849,3549
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006002,Launglon,25735,10600,13818,852,7700,476,1597
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006003,Thayetchaung,22874,8496,10464,827,4525,295,663
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006004,Yebyu,26350,10170,11426,849,4526,512,417
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006005,Myeik,54349,19723,31076,2349,21639,2288,6343
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006006,Kyunsu,32988,11947,11552,1215,3872,275,472
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006007,Palaw,25653,6886,11218,1202,5807,371,722
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006008,Tanintharyi,19929,5820,6473,616,2942,236,443
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006009,Kawthoung,30346,6463,18215,1438,16523,1365,1066
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006010,Bokpyin,15742,3908,5692,627,2728,206,390
MMR111,Bago,MMR007D001,Bago,MMR007001,Bago,107132,31032,59797,5382,51250,3432,9363
MMR111,Bago,MMR007D001,Bago,MMR007002,Thanatpin,32527,12500,13422,1436,4989,196,806
MMR111,Bago,MMR007D001,Bago,MMR007003,Kawa,46075,19131,18756,2470,5475,254,536
MMR111,Bago,MMR007D001,Bago,MMR007004,Waw,37083,15383,16471,1676,7037,254,720
MMR111,Bago,MMR007D001,Bago,MMR007005,Nyaunglebin,44762,18248,16488,2169,12455,432,316
MMR111,Bago,MMR007D001,Bago,MMR007006,Kyauktaga,51648,17147,17894,1869,10276,412,247
MMR111,Bago,MMR007D001,Bago,MMR007007,Daik-U,45753,17095,18361,1784,10442,458,1666
MMR111,Bago,MMR007D001,Bago,MMR007008,Shwegyin,21782,8759,8852,1128,5097,252,717
MMR111,Bago,MMR007D002,Taungoo,MMR007009,Taungoo,57460,17163,33383,2548,25414,1948,4697
MMR111,Bago,MMR007D002,Taungoo,MMR007010,Yedashe,50527,16350,23670,1400,14665,556,2298
MMR111,Bago,MMR007D002,Taungoo,MMR007011,Kyaukkyi,22883,7069,7204,1186,3344,185,647
MMR111,Bago,MMR007D002,Taungoo,MMR007012,Phyu,54931,15862,23918,2288,14434,838,2806
MMR111,Bago,MMR007D002,Taungoo,MMR007013,Oktwin,36870,12099,15520,736,8414,389,1592
MMR111,Bago,MMR007D002,Taungoo,MMR007014,Htantabin,26781,8593,10628,760,4226,155,880
MMR111,Bago,MMR008D001,Pyay,MMR008001,Pyay,58557,22457,40232,3393,24980,2289,4856
MMR111,Bago,MMR008D001,Pyay,MMR008002,Paukkhaung,32347,16611,14331,963,5455,212,765
MMR111,Bago,MMR008D001,Pyay,MMR008003,Padaung,38892,19303,22252,1352,9555,484,1273
MMR111,Bago,MMR008D001,Pyay,MMR008004,Paungde,36700,16651,15343,1116,7245,330,563
MMR111,Bago,MMR008D001,Pyay,MMR008005,Thegon,35950,16978,17544,880,8338,270,1227
MMR111,Bago,MMR008D001,Pyay,MMR008006,Shwedaung,33564,15911,17391,960,7187,357,1325
MMR111,Bago,MMR008D002,Thayarwady,MMR008007,Thayarwady,36626,14081,13627,1113,8770,342,1193
MMR111,Bago,MMR008D002,Thayarwady,MMR008008,Letpadan,43484,18096,15564,1464,9324,291,1061
MMR111,Bago,MMR008D002,Thayarwady,MMR008009,Minhla,30894,12461,11416,807,5968,189,665
MMR111,Bago,MMR008D002,Thayarwady,MMR008010,Okpho,31894,11761,11944,722,7025,230,1171
MMR111,Bago,MMR008D002,Thayarwady,MMR008011,Zigon,18210,6374,9174,547,5203,170,499
MMR111,Bago,MMR008D002,Thayarwady,MMR008012,Nattalin,45769,20693,20514,1292,9688,284,1175
MMR111,Bago,MMR008D002,Thayarwady,MMR008013,Monyo,33287,15651,10898,827,4605,116,108
MMR111,Bago,MMR008D002,Thayarwady,MMR008014,Gyobingauk,30586,11371,13592,1003,8673,326,1049
MMR009,Magway,MMR009D001,Magway,MMR009001,Magway,68677,25429,32612,3835,23646,2293,2156
MMR009,Magway,MMR009D001,Magway,MMR009002,Yenangyaung,32500,13130,12818,1290,9514,455,1306
MMR009,Magway,MMR009D001,Magway,MMR009003,Chauk,44618,19272,17911,2226,11365,484,1388
MMR009,Magway,MMR009D001,Magway,MMR009004,Taungdwingyi,60263,31329,25156,2289,13243,624,1831
MMR009,Magway,MMR009D001,Magway,MMR009005,Myothit,36948,20770,9408,975,4782,144,928
MMR009,Magway,MMR009D001,Magway,MMR009006,Natmauk,48426,28706,13157,1301,6572,257,985
MMR009,Magway,MMR009D002,Minbu,MMR009007,Minbu,43817,16650,20033,1347,12635,756,1316
MMR009,Magway,MMR009D002,Minbu,MMR009008,Pwintbyu,39764,17346,16798,1155,9265,337,1551
MMR009,Magway,MMR009D002,Minbu,MMR009009,Ngape,12457,5818,5051,397,3546,141,378
MMR009,Magway,MMR009D002,Minbu,MMR009010,Salin,55605,30172,17487,1726,8358,347,1368
MMR009,Magway,MMR009D002,Minbu,MMR009011,Sidoktaya,10780,5194,2607,84,1135,62,20
MMR009,Magway,MMR009D003,Thayet,MMR009012,Thayet,25972,11609,11866,402,7174,270,932
MMR009,Magway,MMR009D003,Thayet,MMR009013,Minhla,31622,14008,12932,749,10286,406,1498
MMR009,Magway,MMR009D003,Thayet,MMR009014,Mindon,16809,8449,5553,891,2869,87,656
MMR009,Magway,MMR009D003,Thayet,MMR009015,Kamma,19143,11281,7784,699,2421,105,389
MMR009,Magway,MMR009D003,Thayet,MMR009016,Aunglan,57609,20572,27148,1392,14800,652,2968
MMR009,Magway,MMR009D003,Thayet,MMR009017,Sinbaungwe,28684,14241,9633,701,4506,98,565
MMR009,Magway,MMR009D004,Pakokku,MMR009018,Pakokku,66340,27199,32417,3157,24697,1818,3774
MMR009,Magway,MMR009D004,Pakokku,MMR009019,Yesagyo,47332,27277,16364,1675,13420,443,2291
MMR009,Magway,MMR009D004,Pakokku,MMR009020,Myaing,53641,30797,15412,1701,10134,431,1654
MMR009,Magway,MMR009D004,Pakokku,MMR009021,Pauk,38965,21126,8856,1255,4761,234,491
MMR009,Magway,MMR009D004,Pakokku,MMR009022,Seikphyu,23427,11514,5098,862,4558,223,321
MMR009,Magway,MMR009D005,Gangaw,MMR009023,Gangaw,29912,12828,13001,1110,8888,471,1799
MMR009,Magway,MMR009D005,Gangaw,MMR009024,Tilin,10532,6152,3294,400,2371,75,84
MMR009,Magway,MMR009D005,Gangaw,MMR009025,Saw,15934,9835,5860,526,4504,128,423
MMR010,Mandalay,MMR010D001,Mandalay,MMR010001,Aungmyaythazan,49731,11630,41866,4255,37880,6064,9085
MMR010,Mandalay,MMR010D001,Mandalay,MMR010002,Chanayethazan,33281,8165,28955,5950,28208,6731,10962
MMR010,Mandalay,MMR010D001,Mandalay,MMR010003,Mahaaungmyay,41927,9164,35273,3958,33694,5683,11079
MMR010,Mandalay,MMR010D001,Mandalay,MMR010004,Chanmyathazi,53047,12187,43352,2904,39645,5527,12587
MMR010,Mandalay,MMR010D001,Mandalay,MMR010005,Pyigyitagon,43875,9954,31987,1965,30646,2677,8346
MMR010,Mandalay,MMR010D001,Mandalay,MMR010006,Amarapura,49626,15396,31626,1386,29905,2016,6059
MMR010,Mandalay,MMR010D001,Mandalay,MMR010007,Patheingyi,52990,18331,32719,1482,30026,1723,6208
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010008,Pyinoolwin,53382,18200,38509,2757,35827,4006,5727
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010009,Madaya,58645,23938,29163,2167,15334,629,2101
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010010,Singu,34533,12573,14466,1707,8437,378,1047
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010011,Mogoke,35247,9219,22693,1585,14888,1394,3433
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010012,Thabeikkyin,33141,10004,13540,1465,3559,405,160
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010013,Kyaukse,57765,20786,32348,1069,23029,1520,4523
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010014,Sintgaing,33579,12650,19676,790,14191,795,2151
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010015,Myittha,46017,17847,23604,963,13079,474,1250
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010016,Tada-U,32627,15446,15729,798,10158,353,1693
MMR010,Mandalay,MMR010D004,Myingyan,MMR010017,Myingyan,62340,26801,27372,2714,20665,1081,1275
MMR010,Mandalay,MMR010D004,Myingyan,MMR010018,Taungtha,49852,26657,14528,1923,11643,349,697
MMR010,Mandalay,MMR010D004,Myingyan,MMR010019,Natogyi,40965,20225,16025,2027,10587,263,462
MMR010,Mandalay,MMR010D004,Myingyan,MMR010020,Kyaukpadaung,61961,32109,23923,2859,19350,731,1330
MMR010,Mandalay,MMR010D004,Myingyan,MMR010021,Ngazun,27838,13882,9437,1172,5093,155,317
MMR010,Mandalay,MMR010D005,Nyaung-U,MMR010022,Nyaung-U,54473,26744,19511,1976,18059,1002,1919
MMR010,Mandalay,MMR010D006,Yamethin,MMR010023,Yamethin,57259,29768,19224,1236,12993,506,676
MMR010,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,58863,28636,20989,1795,15515,542,1493
MMR010,Mandalay,MMR010D007,Meiktila,MMR010028,Meiktila,68439,30247,37173,3216,27623,2256,4548
MMR010,Mandalay,MMR010D007,Meiktila,MMR010029,Mahlaing,33327,17940,13999,1973,5134,376,636
MMR010,Mandalay,MMR010D007,Meiktila,MMR010030,Thazi,44892,20419,18880,1377,12542,520,1364
